date,aktivitaet,distanz_km,dauer_min,kalorien
2026-05-02,Spaziergang,2.7,42,194
2026-05-03,Yoga,0,36,155
2026-05-04,Laufen,5.4,54,344
2026-05-09,Schwimmen,1.6,25,437
2026-05-12,Radfahren,21.5,68,523
2026-05-13,Laufen,6.4,69,357
2026-05-14,Laufen,7.9,93,295
2026-05-16,Yoga,0,62,160
2026-05-21,Radfahren,38.2,35,539
2026-05-23,Schwimmen,1.6,71,360
2026-05-24,Radfahren,35.1,34,587
2026-05-26,Radfahren,19.9,73,544
2026-06-02,Laufen,8.2,76,314
2026-06-03,Yoga,0,65,107
2026-06-05,Schwimmen,1.1,42,371
2026-06-07,Yoga,0,79,154
2026-06-08,Radfahren,44.9,42,575
2026-06-09,Laufen,8.4,44,360
2026-06-10,Schwimmen,1.6,74,388
2026-06-12,Spaziergang,4.9,26,187
2026-06-15,Spaziergang,4.3,68,114
2026-06-16,Radfahren,28.6,58,574
2026-06-18,Laufen,8.5,63,361
2026-06-19,Radfahren,19.6,45,579
2026-06-24,Laufen,8.7,64,310
2026-06-25,Yoga,0,35,90
2026-06-29,Radfahren,18.9,85,580
2026-06-30,Yoga,0,79,107
2026-07-05,Spaziergang,3.3,91,157
2026-07-06,Radfahren,16.9,27,585
2026-07-09,Laufen,5.9,29,322
2026-07-10,Radfahren,23.4,87,537
2026-07-11,Yoga,0,85,111
